musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time
50,50.mp3,Fight For Your Right,Beastie Boys,Anthology:  The Sounds Of Science,33.12,02:44,03:15
51,51.mp3,I Got You,Bebe Rexha,I Got You,21.08,02:26,02:45
52,52.mp3,Might Not,Belly,Up For Days,31.1,02:36,03:05
54,54.mp3,Brand New,Ben Rector,Brand New,29.11,03:05,03:32
55,55.mp3,No Favors,Big Sean,I Decided.,33.12,01:53,02:24
56,56.mp3,Blessings,Big Sean,Dark Sky Paradise (Deluxe),28.09,03:46,04:12
57,57.mp3,Bounce Back,Big Sean,I Decided.,49.14,01:50,02:37
58,58.mp3,Halfway Off the Balcony,Big Sean,I Decided.,55.17,01:55,02:48
59,59.mp3,Jump Out the Window,Big Sean,I Decided.,28.09,01:24,01:50
60,60.mp3,Light,Big Sean,I Decided.,47.15,02:19,03:04
61,61.mp3,Moves,Big Sean,I Decided.,28.09,01:41,02:07
63,63.mp3,Owe Me,Big Sean,I Decided.,29.11,02:28,02:55
64,64.mp3,Sacrifices,Big Sean,I Decided.,14.06,02:42,02:54
65,65.mp3,Sweatshirt - Tribute to Jacob Sartorius,Billboard Masters,Sweatshirt - Tribute to Jacob Sartorius,25.11,02:12,02:35
66,66.mp3,It Don't Hurt Like It Used To,Billy Currington,Summer Forever,25.11,02:23,02:46
67,67.mp3,River,Bishop Briggs,River,33.12,03:00,03:31
68,68.mp3,Do Re mi,Blackbear,Digital Druglord,29.11,02:35,03:02
69,69.mp3,A Guy With a Girl,Blake Shelton,If I'm Honest,17.07,02:26,02:41
70,70.mp3,Came Here to Forget,Blake Shelton,If I'm Honest,30.11,02:24,02:52
71,71.mp3,Every Time I Hear That Song,Blake Shelton,If I'm Honest,28.09,02:18,02:44
72,72.mp3,Go Ahead and Break My Heart,Blake Shelton,If I'm Honest,21.08,03:17,03:36
73,73.mp3,She's Got a Way With Words,Blake Shelton,If I'm Honest,18.09,02:21,02:37
74,74.mp3,Bored To Death,Blink 182,California,26.1,02:45,03:09
75,75.mp3,Rabbit Hole,Blink-182,Rabbit Hole,22.1,01:46,02:06
76,76.mp3,Is This Love (Extended Mix),Bob Marley,Is This Love,20.08,02:28,02:46
78,78.mp3,Jingle Bell Rock,韩国群星,해피 에로 크리스마스,41.13,01:26,02:05
79,79.mp3,Livin' On A Prayer,Bon Jovi,Slippery When Wet,48.15,03:23,04:09
80,80.mp3,Without a Fight,Brad Paisley,Without a Fight,19.09,03:15,03:32
81,81.mp3,Today,Brad Paisley,Today,26.1,02:17,02:41
83,83.mp3,The Weekend,Brantley Gilbert,The Weekend,27.1,02:17,02:42
84,84.mp3,Rockin' Around The Christmas Tree (Re-Recorded Version),²¼Â×´ï.Àî(Brenda Lee),,17.07,01:28,01:43
85,85.mp3,Rockin' Around the Christmas Tree,Brenda Lee,Rockin' Around the Christmas Tree,14.06,01:28,01:40
86,86.mp3,Somethin' I'm Good At,Brett Eldredge,Somethin' I'm Good At,32.1,03:07,03:37
87,87.mp3,Wanna Be That Song,Brett Eldredge,Illinois,30.11,02:52,03:20
88,88.mp3,In Case You Didn't Know,Brett Young,Brett Young,35.11,02:44,03:17
89,89.mp3,Sleep Without You,Brett Young,Brett Young,30.11,02:12,02:40
90,90.mp3,Make Me...,Britney Spears,Make Me...,35.11,03:14,03:47
91,91.mp3,Slumber Party,Britney Spears,Glory (Deluxe Version),30.11,02:45,03:13
92,92.mp3,Make Me...,Britney Spears,Make Me...,35.11,03:14,03:47
93,93.mp3,Broadway+For+Orlando,Various Artists,The Sound Of Dance In 2000,76.22,02:30,03:44
94,94.mp3,Dance Like Me,Brooklyn and Bailey,Dance Like Me,37.13,02:12,02:47
95,95.mp3,It Ain't My Fault,Brothers Osborne,Pawn Shop,14.06,02:58,03:10
96,96.mp3,24K Magic,Bruno Mars,24K Magic,38.12,03:07,03:43
97,97.mp3,Perm,Bruno Mars,24K Magic,19.09,03:10,03:27
98,98.mp3,That's What I Like,Bruno Mars,24K Magic,31.1,02:54,03:23
99,99.mp3,Versace On The Floor,Bruno Mars,24K Magic,26.1,03:39,04:03
100,100.mp3,Don't,Bryson Tiller,T R A P S O U L,40.14,02:40,03:18
101,101.mp3,Exchange,Bryson Tiller,T R A P S O U L,13.07,01:50,02:01
102,102.mp3,A Holly Jolly Christmas,Burl Ives,Colorful Fruit,18.09,01:01,01:17
103,103.mp3,LIFTED,CL,LIFTED,24.09,02:28,02:50
104,104.mp3,Dancing On My Own(Ben Dooks Remix),Calum Scott,Dancing On My Own (Ben Dooks Remix),65.19,04:06,05:09
105,105.mp3,Dancing on My Own,Calum Scott,Dancing on My Own,50.17,03:08,03:56
106,106.mp3,Slide,Calvin Harris,Slide,40.14,02:54,03:32
107,107.mp3,Rollin,Calvin Harris,Rollin,22.1,04:10,04:30
108,108.mp3,This Is What You Came For,Calvin Harris,This Is What You Came For,49.14,02:50,03:37
109,109.mp3,Heatstroke,Calvin Harris,Heatstroke,54.17,02:19,03:11
110,110.mp3,My Way,Calvin Harris,My Way,14.06,02:40,02:52
113,113.mp3,Crying In The Club,Camila Cabello,Crying In The Club,38.12,02:57,03:33
114,114.mp3,I Have Questions,Camila Cabello,I Have Questions,38.12,03:02,03:38
115,115.mp3,La Bicicleta,Carlos Vives,La Bicicleta,43.15,03:02,03:43
116,116.mp3,Church Bells,Carrie Underwood,Storyteller,27.1,02:44,03:09
117,117.mp3,Dirty Laundry,Carrie Underwood,Storyteller,21.08,02:25,02:44
118,118.mp3,Millionaire (feat. Nelly),Nelly,"Blood, Sweat & 3 Years",11.08,01:46,01:55
119,119.mp3,How Does A Moment Last Forever,Céline Dion,Beauty and the Beast (Original Motion Picture Soundtrack),59.17,02:03,03:00
120,120.mp3,No Problem,Chance The Rapper,Coloring Book,59.17,04:04,05:01
123,123.mp3,The Only One Who Gets Me,Charles Kelley,The Driver,33.12,01:55,02:26
124,124.mp3,After The Afterparty,Charli XCX,After The Afterparty,36.13,03:05,03:39
126,126.mp3,We Don't Talk Anymore,Charlie Puth,Nine Track Mind,43.15,02:53,03:34
127,127.mp3,Attention,Charlie Puth,Attention,43.15,02:44,03:25
128,128.mp3,One Call Away,Charlie Puth,One Call Away (Acoustic),26.1,02:40,03:04
132,132.mp3,Everybody We Know Does,Chase Rice,Everybody We Know Does,46.13,02:46,03:30
133,133.mp3,No Promises,Cheat Codes,No Promises,62.18,02:41,03:41
134,134.mp3,Let Me Hold You (Turn Me On),Cheat Codes,Let Me Hold You (Turn Me On),41.13,02:02,02:41
135,135.mp3,Me and your Mama,Childish Gambino,Me and your Mama,41.13,02:59,03:38
136,136.mp3,Redbone,Childish Gambino,"""Awaken, My Love!""",50.17,02:43,03:31
137,137.mp3,Money On You,Chris Blue,Money On You (The Voice Performance),42.13,02:31,03:11
138,138.mp3,Take Me To the King,Chris Blue,Take Me To the King (The Voice Performance),41.13,02:01,02:40
139,139.mp3,Party,Chris Brown,Party,32.1,01:59,02:29
140,140.mp3,Back To Sleep,Chris Brown,Back To Sleep,85.22,01:55,03:18
141,141.mp3,chris brown - grass ain't greener,Chris Brown,Grass Ain't Greene,28.09,02:52,03:18
142,142.mp3,01 Privacy,Chris Brown,Privacy,24.09,02:48,03:10
143,143.mp3,Holdin' Her,Chris Janson,Buy Me A Boat,61.19,02:50,03:49
144,144.mp3,Fix,Chris Lane,Fix,40.14,01:29,02:07
145,145.mp3,For Her,Chris Lane,Girl Problems,40.14,01:48,02:26
146,146.mp3,Driving Home For Christmas (2003),¿ËÀïË¹ÀûÑÇ(Chris Rea),Driving Home For Christmas,40.14,02:37,03:15
147,147.mp3,Broken Halos,Chris Stapleton,"From a Room, Vol. 1",52.16,02:06,02:56
148,148.mp3,Either Way,Chris Stapleton,From A Room: Volume 1,35.11,03:20,03:53
149,149.mp3,Fire Away,Chris Stapleton,Traveller,65.19,02:53,03:56
150,150.mp3,Parachute,Chris Stapleton,Traveller,43.15,03:23,04:04
151,151.mp3,Tennessee Whiskey,Chris Stapleton,Traveller,75.22,03:28,04:41
152,152.mp3,Think of You (Duet with Cassadee Pope),Chris Young,Think of You (Duet with Cassadee Pope),37.13,02:53,03:28
153,153.mp3,Sober Saturday Night (feat. Vince Gill),Chris Young,Sober Saturday Night (feat. Vince Gill),39.12,01:36,02:13
156,156.mp3,Change,Christina Aguilera,Change,63.18,02:02,03:03
157,157.mp3,Tilted,Christine and the Queens,Saint Claude,41.13,02:52,03:31
158,158.mp3,Johnny B. Goode,Chuck Berry,The Ultimate Rock `n Roll Party (A Fine Rock `n Roll Voyage)  Vol1,21.08,02:15,02:34
159,159.mp3,Tears (feat. Louisa Johnson),Clean Bandit,Tears ,49.14,02:43,03:30
160,160.mp3,Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,Rockabye ,48.15,03:20,04:06
161,161.mp3,Symphony,Clean Bandit,Symphony,42.13,02:49,03:29
162,162.mp3,Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,Rockabye ,48.15,03:20,04:06
165,165.mp3,Hymn For The Weekend,Coldplay,A Head Full Of Dreams,46.13,03:31,04:15
166,166.mp3,Hypnotised,Coldplay,Hypnotised,38.12,05:03,05:39
167,167.mp3,Flatliner (feat. Dierks Bentley),Cole Swindell,You Should Be Here,54.17,02:00,02:52
168,168.mp3,Middle of a Memory,Cole Swindell,You Should Be Here,57.18,02:44,03:39
169,169.mp3,You Should Be Here,Cole Swindell,You Should Be Here,32.1,02:27,02:57
170,170.mp3,The Scientist,Corinne Bailey Rae,Fifty Shades Darker (Original Motion Picture Soundtrack),42.13,02:04,02:44
171,171.mp3,Ain't Giving Up,Craig David,Ain't Giving Up,33.12,01:49,02:20
172,172.mp3,BROCCOLI,D.R.A.M.,Broccoli,29.11,03:04,03:31
174,174.mp3,Wishing,DJ Drama,Quality Street Music 2,26.1,03:06,03:30
175,175.mp3,Too Much Sauce,Future,Too Much Sauce,31.1,02:57,03:26
176,176.mp3,Shining,DJ Khaled,Shining,21.08,03:45,04:04
177,177.mp3,For Free,DJ Khaled,Major Key,30.11,02:12,02:40
179,179.mp3,I Got the Keys,DJ Khaled,I Got the Keys,33.12,03:00,03:31
180,180.mp3,I'm the One,DJ Khaled,I'm the One,18.09,02:55,03:11
181,181.mp3,Do You Mind,DJ Khaled,Major Key,18.09,04:59,05:15
184,184.mp3,Holy Key,DJ Khaled,Major Key,34.12,04:03,04:35
185,185.mp3,I Got the Keys,DJ Khaled,I Got the Keys,33.12,03:00,03:31
186,186.mp3,Shining,DJ Khaled,Shining,29.11,03:42,04:09
187,187.mp3,OTW (Remix),DJ Luke Nasty,The Boom Boom Room,28.09,02:44,03:10
188,188.mp3,Key to the Streets(Chopped Not Slopped),DJ Slim K,Refund Season,31.1,04:59,05:28
189,189.mp3,Middle(4B Remix),DJ Snake,Middle (4B Remix),21.08,02:31,02:50
191,191.mp3,Let Me Love You,DJ Snake,Encore,21.08,02:02,02:21
192,192.mp3,Turn Down for What,DJ Snake,Ultimate... Hip-Hop,23.09,02:12,02:33
196,196.mp3,Cash Me Outside (#CashmeOutside),DJ Suede The Remix God,Cash Me Outside (#CashMeOutside),16.08,00:31,00:45
197,197.mp3,DNCE - Cake By The Ocean (From ＂Grease Live!＂ Music From The Television Event),Various Artists,Grease Live! (Music From The Television Event),36.13,02:02,02:36
198,198.mp3,Toothbrush,DNCE,Swaay,40.14,03:07,03:45
199,199.mp3,Shaky Shaky,Daddy Yankee,Shaky Shaky,23.09,02:56,03:17
200,200.mp3,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,"Wat U Mean (Aye, Aye, Aye)",26.1,02:08,02:32
201,201.mp3,From the Ground Up,Dan + Shay,Obsessed,32.1,03:23,03:53
202,202.mp3,How Not To,Dan + Shay,Obsessed,30.11,02:20,02:48
203,203.mp3,When I Pray For You,Dan + Shay,The Shack: Music From and Inspired By the Original Motion Picture,36.13,02:33,03:07
204,204.mp3,Evermore,Dan Stevens,Beauty and the Beast (Original Motion Picture Soundtrack),31.1,02:10,02:39
205,205.mp3,If I Told You,Darius Rucker,If I Told You,14.06,02:42,02:54
206,206.mp3,Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),12.07,03:25,03:35
207,207.mp3,Titanium (Feat. Sia),David Guetta,Nothing But The Beat (US Edition),32.1,03:03,03:33
209,209.mp3,Night's On Fire,David Nail,Night's On Fire,28.09,02:35,03:01
210,210.mp3,Hide Away,Daya,"Sit Still, Look Pretty",24.09,02:26,02:48
211,211.mp3,"Sit Still, Look Pretty",Daya,Daya,44.14,02:17,02:59
212,212.mp3,Body Say,Demi Lovato,Body Say,46.13,02:23,03:07
213,213.mp3,Panda (#PANDATO Version),Desiigner,Panda,66.19,02:23,03:27
215,215.mp3,Tiimmy Turner,Desiigner,Tiimmy Turner,48.15,03:09,03:55
216,216.mp3,Different for Girls,Dierks Bentley,Black,30.11,02:22,02:50
217,217.mp3,Black,Dierks Bentley,Black,27.1,02:23,02:48
219,219.mp3,Drunk On A Plane,Dierks Bentley,,39.12,03:09,03:46
220,220.mp3,Somewhere on a Beach,Dierks Bentley,Black,29.11,02:13,02:40
221,221.mp3,On My Mind,Disciples,On My Mind,33.12,02:29,03:00
222,222.mp3,The Sound Of Silence,Disturbed,Immortalized,39.12,03:05,03:42
224,224.mp3,Sneakin',Drake,Sneakin',24.09,03:35,03:57
225,225.mp3,Get It Together,Drake,More Life,20.08,02:56,03:14
226,226.mp3,Grammys,Drake,Views,15.08,03:05,03:18
227,227.mp3,Jumpman,Drake,What a Time To Be Alive,22.1,02:50,03:10
228,228.mp3,KMT,Drake,More Life,16.08,02:10,02:24
229,229.mp3,No Long Talk,Drake,More Life,36.13,01:35,02:09
230,230.mp3,Glow,Drake,More Life,28.09,02:59,03:25
231,231.mp3,With You,Drake,Views,30.11,02:02,02:30
232,232.mp3,Faithful,Drake,Views,39.12,03:44,04:21
233,233.mp3,Controlla,Drake,Controlla,60.17,03:05,04:03
234,234.mp3,Portland,Drake,More Life,29.11,02:58,03:25
235,235.mp3,Too Good,Drake,Views,25.11,03:32,03:55
236,236.mp3,4422,Drake,More Life,32.1,02:18,02:48
237,237.mp3,Pop Style,Drake,Pop Style,44.14,01:50,02:32
238,238.mp3,One Dance,Drake,Views,20.08,02:30,02:48
239,239.mp3,Ice Melts,Drake,More Life,49.14,02:34,03:21
241,241.mp3,9,Drake,Views,19.09,02:54,03:11
242,242.mp3,Blem,Drake,More Life,29.11,02:17,02:44
244,244.mp3,Childs Play,Drake,Views,44.14,02:28,03:10
249,249.mp3,Fake Love,Drake,Fake Love,31.1,02:45,03:14
251,251.mp3,Feel No Ways,Drake,Views,22.1,02:28,02:48
252,252.mp3,Fire & Desire,Drake,Views,37.13,03:18,03:53
253,253.mp3,Free Smoke,Drake,More Life,50.17,02:26,03:14
257,257.mp3,Gyalchester,Drake,More Life,61.19,01:17,02:16
258,258.mp3,Hype,Drake,Views,18.09,02:21,02:37
260,260.mp3,Jorja Interlude,Drake,More Life,46.13,00:19,01:03
263,263.mp3,Keep The Family Close,Drake,Views,30.11,03:51,04:19
264,264.mp3,Lose You,Drake,More Life,12.07,03:58,04:08
265,265.mp3,Madiba Riddim,Drake,More Life,41.13,02:03,02:42
267,267.mp3,Nothings Into Somethings,Drake,More Life,41.13,00:47,01:26
269,269.mp3,Passionfruit,Drake,More Life,36.13,03:16,03:50
273,273.mp3,Redemption,Drake,Views,49.14,02:34,03:21
275,275.mp3,Since Way Back,Drake,More Life,38.12,04:39,05:15
276,276.mp3,Skepta Interlude,Drake,More Life,47.15,01:19,02:04
277,277.mp3,Sneakin’,Drake,Sneakin’,24.09,03:35,03:57
278,278.mp3,Still Here,Drake,Views,15.08,01:56,02:09
279,279.mp3,Summer Sixteen,Drake,Summer Sixteen,28.09,02:41,03:07
280,280.mp3,Teenage Fever,Drake,More Life,38.12,02:18,02:54
282,282.mp3,"Two Birds, One Stone",Drake,"Two Birds, One Stone",24.09,03:20,03:42
283,283.mp3,U With Me?,Drake,Views,20.08,03:29,03:47
284,284.mp3,Views,Drake,Views,32.1,03:13,03:43
285,285.mp3,Weston Road Flows,Drake,Views,60.17,02:08,03:06
287,287.mp3,Body,Dreezy,Body,25.11,03:12,03:35
291,291.mp3,Be The One,Dua Lipa,Be The Ones,12.07,02:56,03:06
292,292.mp3,Blow Your Mind (Mwah),Dua Lipa,Blow Your Mind (Mwah),27.1,02:30,02:55
293,293.mp3,Mind Reader,Dustin Lynch,Where It's At 1,25.11,02:29,02:52
294,294.mp3,Seein' Red,Dustin Lynch,Seein' Red,31.1,02:32,03:01
295,295.mp3,Small Town Boy,Dustin Lynch,Small Town Boy,35.11,02:27,03:00
296,296.mp3,You're Welcome,Dwayne Johnson,Moana (Original Motion Picture Soundtrack),37.13,02:05,02:40
297,297.mp3,My Girl,Dylan Scott,Dylan Scott,36.13,02:30,03:04
298,298.mp3,Castle on the Hill,Ed Sheeran,÷ (Deluxe),29.11,03:45,04:12
299,299.mp3,How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),34.12,03:42,04:14
300,300.mp3,06-ed_sheeran-photograph,Ed Sheeran,X (Deluxe Edition),36.13,03:19,03:53
301,301.mp3,Shape of You,Ed Sheeran,Shape of You,42.13,03:10,03:50
302,302.mp3,Thinking Out Loud,Ed Sheeran,Bridget Jones’s Baby,23.09,03:29,03:50
303,303.mp3,Mr. Blue Sky (Album Version),Electric Light Orchestra,Flashback,33.12,03:19,03:50
304,304.mp3,America's Sweetheart,Elle King,Love Stuff,48.15,02:56,03:42
305,305.mp3,Still Falling For You,Ellie Goulding,Still Falling For You,40.14,03:07,03:45
306,306.mp3,Step Into Christmas,Elton John,Caribou,62.18,03:22,04:22
307,307.mp3,Hurts,Emeli Sandé,Hurts,37.13,03:01,03:36
308,308.mp3,Love The Way You Lie,Eminem,Now Thats What I disposition Music! 37 (US Retail),24.09,03:47,04:09
309,309.mp3,Infinite,Eminem,,26.1,03:31,03:55
310,310.mp3,Something There,Emma Watson,Beauty and the Beast (Original Motion Picture Soundtrack),29.11,01:33,02:00
311,311.mp3,Súbeme La Radio,Enrique Iglesias,Súbeme La Radio,13.07,03:00,03:11
312,312.mp3,DUELE EL CORAZON,Enrique Iglesias,DUELE EL CORAZON,32.1,02:33,03:03
313,313.mp3,Kill a Word,Eric Church,Mr. Misunderstood,22.1,02:22,02:42
314,314.mp3,Record Year,Eric Church,Mr. Misunderstood,29.11,02:10,02:37
315,315.mp3,Bring Me To Life,Evanescence,Daredevil - The Album (Music From The Motion Picture),44.14,03:00,03:42
316,316.mp3,Be Our Guest,Ewan McGregor,Beauty and the Beast (Original Motion Picture Soundtrack),64.17,03:41,04:43
317,317.mp3,Be Our Guest,Ewan McGregor,Beauty and the Beast (Original Motion Picture Soundtrack),64.17,03:41,04:43
318,318.mp3,Capsize,Emily Warren,Capsize,33.12,02:58,03:29
319,319.mp3,Keep Your Eyes On Me,Faith Hill,Stars (The Shack Version),30.11,03:25,03:53
320,320.mp3,Subeme la Radio,Farandula Boys,Subeme la Radio,14.06,03:00,03:12
321,321.mp3,All the Way Up,Fat Joe,All the Way Up,42.13,02:20,03:00
323,323.mp3,Life Goes On,Fergie,Life Goes On,22.1,03:06,03:26
324,324.mp3,M.I.L.F. $,Fergie,M.I.L.F. $,24.09,02:03,02:25
325,325.mp3,Wake Up,Fetty Wap,Wake Up,44.14,02:30,03:12
326,326.mp3,All In My Head (Flex),Fifth Harmony,7/27,41.13,02:47,03:26
327,327.mp3,Work From Home,Fifth Harmony,7/27,39.12,02:53,03:30
329,329.mp3,That's My Girl,Fifth Harmony,7/27 (Deluxe),42.13,02:30,03:10
331,331.mp3,HandClap,Fitz,Fitz & the Tantrums,30.11,02:35,03:03
332,332.mp3,The Chain,Fleetwood Mac,Rumours (Super Deluxe),60.17,03:23,04:21
333,333.mp3,Cake,Flo Rida,This Is A Challenge,35.11,02:19,02:52
334,334.mp3,My House,Flo Rida,空,25.11,02:43,03:06
336,336.mp3,"God, Your Mama, And Me",Florida Georgia Line,Dig Your Roots,30.11,02:26,02:54
337,337.mp3,May We All,Florida Georgia Line,Dig Your Roots,54.17,02:42,03:34
338,338.mp3,Confession,Florida Georgia Line,Anything Goes,26.1,02:24,02:48
339,339.mp3,H.O.L.Y,Florida Georgia Line,H.O.L.Y,27.1,02:30,02:55
341,341.mp3,Smooth,Florida Georgia Line,Dig Your Roots,26.1,02:00,02:24
342,342.mp3,Never Be Like You,Flume,Never Be Like You,17.07,03:03,03:18
343,343.mp3,Say It,Flume,Say It,27.1,03:54,04:19
347,347.mp3,Chanel,Frank Ocean,Chanel,32.1,02:54,03:24
348,348.mp3,Ivy,Frank Ocean,Blonde,69.2,02:39,03:46
349,349.mp3,Nights,Frank Ocean,Blonde,36.13,04:27,05:01
350,350.mp3,Nikes,Frank Ocean,Blonde,36.13,04:05,04:39
351,351.mp3,Pink + White,Frank Ocean,Blonde,54.17,02:00,02:52
352,352.mp3,Solo,Frank Ocean,Blonde,15.08,03:05,03:18
353,353.mp3,It All Started with a Beer,Frankie Ballard,El Rio,29.11,03:16,03:43
354,354.mp3,No Shopping,French Montana,No Shopping,40.14,02:47,03:25
355,355.mp3,Lockjaw,French Montana,Lockjaw,29.11,03:07,03:34
356,356.mp3,Unforgettable,French Montana,Unforgettable,60.17,02:48,03:46
358,358.mp3,Wicked Version,Future Pigeon,The Echodelic Sounds Of Future Pigeon,46.13,01:52,02:36
359,359.mp3,Used to This,Future,Used to This,15.08,02:31,02:44
360,360.mp3,Selfish,Future,HNDRXX,40.14,02:30,03:08
361,361.mp3,Comin Out Strong,Future,HNDRXX,25.11,02:58,03:21
362,362.mp3,Low Life (feat. The Weeknd),Future,EVOL,27.1,03:27,03:52
364,364.mp3,Draco,Future,FUTURE,58.18,02:29,03:25
366,366.mp3,Mask Off,Future,FUTURE,41.13,02:33,03:12
367,367.mp3,New Level,Future,New Level,32.1,03:51,04:21
368,368.mp3,Rent Money,Future,FUTURE,38.12,03:04,03:40
370,370.mp3,Super Trapper,Future,FUTURE,23.09,03:12,03:33
371,371.mp3,Wicked,Future,Wicked,12.07,02:24,02:34
372,372.mp3,Zoom,Future,FUTURE,60.17,03:37,04:35
373,373.mp3,"Me, Myself & I",Bebe Rexha,"Me, Myself & I (Marc Stout & Scott Svejda Remix	)",33.12,03:34,04:05
375,375.mp3,Good Life,G-Eazy,Fast & Furious 8: The Album,58.18,02:40,03:36
376,376.mp3,Some Kind Of Drug,G-Eazy,When It's Dark Out,31.1,02:48,03:17
379,379.mp3,Love On Me,Galantis,Love On Me,36.13,02:33,03:07
381,381.mp3,No Money,Galantis,No Money,17.07,02:18,02:33
382,382.mp3,She Sets The City On Fire,Gavin DeGraw,She Sets The City On Fire,33.12,02:49,03:20
383,383.mp3,Careless Whisper,George Michael,The Final,25.11,03:12,03:35
384,384.mp3,Faith,George Michael,Faith CD3,11.08,03:05,03:14
385,385.mp3,Freedom! '90(Remastered),George Michael,Happiness Forever,40.14,05:45,06:23
386,386.mp3,My Boo,Ghost Town DJ's,Boom! 17 Explosive Hits,61.19,03:41,04:40
388,388.mp3,home,Gnash,home,25.11,03:07,03:30
389,389.mp3,I Hate U I Love U,Gnash,I Hate U I Love U,24.09,03:18,03:40
391,391.mp3,Come Together,Godsmack,Live & Inspired,29.11,02:33,03:00
392,392.mp3,Life Can't Get Much Better,Good Charlotte,Youth Authority (Bonus Track Version),15.08,02:57,03:10
393,393.mp3,Saturnz Barz,Gorillaz,Humanz (Deluxe),25.11,02:36,02:59
394,394.mp3,You Don't Own Me,Grace,You Don't Own Me,47.15,02:10,02:55
395,395.mp3,You Don't Own Me,Grace,#LOVE...heartbreak,47.15,02:10,02:55
