file_name, duration, singer, fst_level_label, sec_level_label, thr_level_label
Hit Crew Masters - In The End, 217s, Hit Crew Masters,2,11,19
Hit Crew Masters - Karaoke Queen, 297s, Hit Crew Masters,2,11,19
Hit Crew Masters - Lipstick And Bruises, 182s, Hit Crew Masters,2,11,19
Hit Crew Masters - Londinium, 268s, Hit Crew Masters,2,11,19
Hit Crew Masters - Long Way Around, 219s, Hit Crew Masters,2,11,19
Hit Crew Masters - Love Spreads, 352s, Hit Crew Masters,2,11,19
Hit Crew Masters - Lucky Man, 289s, Hit Crew Masters,2,11,19
Hit Crew Masters - Million Miles Away, 224s, Hit Crew Masters,2,11,19
Hit Crew Masters - Mulder and Scully, 259s, Hit Crew Masters,2,11,19
Hit Crew Masters - Trash, 256s, Hit Crew Masters,2,11,19
Hit Crew Masters - Up All Night, 189s, Hit Crew Masters,2,11,19
Hit Crew Masters - Walking on a Dream, 200s, Hit Crew Masters,2,11,19
Hit Crew Masters - We Are the People, 267s, Hit Crew Masters,2,11,19
Hit Crew Masters - Where Are You, 242s, Hit Crew Masters,2,11,19
Hit Crew Masters - Where'd You Go, 225s, Hit Crew Masters,2,11,19
Hit Crew Masters - Why Don't You Get a Job, 169s, Hit Crew Masters,2,11,19
Hit Crew Masters - With You, 189s, Hit Crew Masters,2,11,19
Hit Crew Masters - Work, 197s, Hit Crew Masters,2,11,19
Hit Crew Masters - You Can Talk to Me, 265s, Hit Crew Masters,2,11,19
Hit Crew Masters - You Showed Me, 214s, Hit Crew Masters,2,11,19
Hit Crew Masters - You Stole the Sun from My Heart, 265s, Hit Crew Masters,2,11,19
R.E.M. - Everybody Hurts, 320s, R.E.M.,2,11,19
R.E.M. - The One I Love, 213s, R.E.M.,2,11,19
