file_name, duration, singer, fst_level_label, sec_level_label, thr_level_label
Bob Dylan - Song to Woody, 160s, Bob Dylan,2,7,12
Bob Dylan - Spanish Harlem Incident, 141s, Bob Dylan,2,7,12
Bob Dylan - Talkin' Bear Mountain Picnic Massacre Blues, 261s, Bob Dylan,2,7,12
Bob Dylan - Talkin' New York, 205s, Bob Dylan,2,7,12
Bob Dylan - Talking Merchant Marine, 245s, Bob Dylan,2,7,12
Bob Dylan - Talking World War III Blues, 264s, Bob Dylan,2,7,12
Bob Dylan - Tell Me Baby, 182s, Bob Dylan,2,7,12
Bob Dylan - To Ramona, 228s, Bob Dylan,2,7,12
Bob Dylan - You're No Good, 98s, Bob Dylan,2,7,12
Joan Baez - Banks of the Ohio, 189s, Joan Baez,2,7,12
Joan Baez - Donna Donna, 195s, Joan Baez,2,7,12
Joan Baez - Engine 143, 212s, Joan Baez,2,7,12
Joan Baez - Lonesome Road, 143s, Joan Baez,2,7,12
Joan Baez - Pal of Mine, 170s, Joan Baez,2,7,12
Joan Baez - The Lily of the West, 200s, Joan Baez,2,7,12
Pete Seeger - A Hard Rain's A-Gonna Fall, 341s, Pete Seeger,2,7,12
Pete Seeger - A Hayseed Like Me, 76s, Pete Seeger,2,7,12
"Pete Seeger - Beans, Bacon, and Gravy", 176s, Pete Seeger,2,7,12
Pete Seeger - Both Sides Now, 260s, Pete Seeger,2,7,12
Pete Seeger - Buffalo Skinners, 164s, Pete Seeger,2,7,12
Pete Seeger - Casey Jones (The Union Scab), 140s, Pete Seeger,2,7,12
Pete Seeger - Come All Ye Fair And Tender Ladies, 143s, Pete Seeger,2,7,12
Pete Seeger - Come All You Hardy Miners, 120s, Pete Seeger,2,7,12
Pete Seeger - Cotton Mill Colic, 101s, Pete Seeger,2,7,12
Pete Seeger - East Virginia, 155s, Pete Seeger,2,7,12
"Pete Seeger - Fare Ye Well, Old Ely Branch", 131s, Pete Seeger,2,7,12
Pete Seeger - Git Along Little Dogies, 84s, Pete Seeger,2,7,12
Pete Seeger - Hard Times in the Mill, 136s, Pete Seeger,2,7,12
Pete Seeger - Hobo's Lullaby, 204s, Pete Seeger,2,7,12
Pete Seeger - If You Miss Me at the Back of the Bus, 136s, Pete Seeger,2,7,12
Pete Seeger - John Riley, 137s, Pete Seeger,2,7,12
Pete Seeger - Keep Your Eyes on the Prize, 124s, Pete Seeger,2,7,12
Pete Seeger - Last Night I Had the Strangest Dream, 171s, Pete Seeger,2,7,12
Pete Seeger - Last Train to Nuremberg, 164s, Pete Seeger,2,7,12
Pete Seeger - Let Them Wear Their Watches Fine, 221s, Pete Seeger,2,7,12
Pete Seeger - Mail Myself to You, 77s, Pete Seeger,2,7,12
Pete Seeger - Mill Mother's Lament, 97s, Pete Seeger,2,7,12
Pete Seeger - My Children are Seven in Number, 239s, Pete Seeger,2,7,12
Pete Seeger - My Oklahoma Home Blowed Away (Previously Unreleased), 284s, Pete Seeger,2,7,12
Pete Seeger - My Rainbow Race, 175s, Pete Seeger,2,7,12
Pete Seeger - Old Devil Time, 151s, Pete Seeger,2,7,12
Pete Seeger - Our Generation, 175s, Pete Seeger,2,7,12
Pete Seeger - Peg and Awl, 149s, Pete Seeger,2,7,12
Pete Seeger - Penny's Farm, 102s, Pete Seeger,2,7,12
Pete Seeger - Pittsburgh Town, 90s, Pete Seeger,2,7,12
Pete Seeger - Queen Anne Front, 209s, Pete Seeger,2,7,12
Pete Seeger - Raggedy, 152s, Pete Seeger,2,7,12
Pete Seeger - Rissolty Rossolty, 69s, Pete Seeger,2,7,12
Pete Seeger - Roll Down the Line, 195s, Pete Seeger,2,7,12
Pete Seeger - Sailing Down This Golden River, 156s, Pete Seeger,2,7,12
Pete Seeger - Seven Cent Cotton and Forty Cent Meat, 118s, Pete Seeger,2,7,12
Pete Seeger - Sixty Percent, 60s, Pete Seeger,2,7,12
Pete Seeger - Snow Snow, 172s, Pete Seeger,2,7,12
Pete Seeger - The Ballad of Barney Graham, 108s, Pete Seeger,2,7,12
Pete Seeger - The Blind Fiddler, 77s, Pete Seeger,2,7,12
Pete Seeger - The Clearwater, 302s, Pete Seeger,2,7,12
Pete Seeger - The Farmer is the Man (Who Feeds Us All), 103s, Pete Seeger,2,7,12
Pete Seeger - The Jam On Gerry's Rocks, 92s, Pete Seeger,2,7,12
Pete Seeger - The Sinking of the Reuben James, 162s, Pete Seeger,2,7,12
Pete Seeger - Uncle Ho, 129s, Pete Seeger,2,7,12
Pete Seeger - What Did You Learn in School Today£¿, 105s, Pete Seeger,2,7,12
Pete Seeger - Who Killed Davey Moore£¿, 142s, Pete Seeger,2,7,12
Pete Seeger - Winnsboro Cotton Mill Blues, 69s, Pete Seeger,2,7,12
Pete Seeger - Words Words Words, 138s, Pete Seeger,2,7,12
"Pete Seeger,Si Kahn,Jane Sapp - Soup Song", 185s, Pete Seeger/Si Kahn/Jane Sapp,2,7,12
